seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Travis,Coleman,44,Jeeno Circle,Radsoapi,CA,70599,$4091.43,YELLOW,01/03/1957
2,Stella,Stevenson,20,Lamer Parkway,Densirkar,ID,95119,$4692.19,RED,12/27/2031
3,Lula,Jacobs,53,Jorku Plaza,Kalbacroh,WI,78844,$9836.09,GREEN,05/19/2034
4,Bertie,Walsh,22,Hujat Boulevard,Gocbagrem,MA,47488,$239.81,YELLOW,10/04/1924
5,Mathilda,Mack,48,Cogsi Grove,Gonajsik,OK,24414,$8221.91,GREEN,09/19/1917
6,Nathaniel,Wood,31,Difab Point,Omjizfuc,CA,47750,$4445.56,RED,12/10/2039
7,Michael,Ross,51,Nusne Lane,Ajerieb,KS,25203,$2053.24,WHITE,08/26/1963
8,Augusta,McCarthy,43,Oroli Pass,Jedikhit,ID,61257,$106.94,RED,03/11/2037
9,Wesley,Parks,43,Abeto Avenue,Jegzovoh,KS,12385,$9031.60,WHITE,08/04/1987
10,Leona,Sanders,33,Wase Trail,Junorih,IL,84456,$769.19,WHITE,08/24/1944
11,Mollie,Austin,20,Colet Court,Bucocob,NC,39760,$6181.98,YELLOW,10/15/2018
12,Myra,Conner,58,Ezarab Ridge,Gejjoson,UT,43928,$6462.01,GREEN,11/21/1918
13,Hannah,Lopez,46,Carin Circle,Emjefgob,SD,89635,$6377.06,WHITE,05/31/2050
14,Sylvia,Miles,60,Cifsun Mill,Kavedaabu,SD,23577,$2081.41,RED,12/30/1937
15,Allie,Bradley,44,Wali Lane,Luhumu,NM,98584,$755.85,RED,06/29/1988
16,Luke,Flores,49,Faszim Place,Tivusref,OR,74676,$3117.61,GREEN,09/14/2046
17,Ricardo,Martin,24,Bapna Glen,Gogodib,TX,94996,$3267.80,WHITE,06/12/2069
18,Tyler,Rodgers,51,Agiij Heights,Pujase,AL,56375,$2677.27,GREEN,12/23/1946
19,Myrtle,Willis,41,Bohob Extension,Ekacepug,AL,53933,$9126.44,RED,02/10/2068
20,Jorge,Cohen,58,Hiud Ridge,Sokuttin,ND,57535,$8647.95,WHITE,09/14/1987
21,Lula,Burke,45,Sijo Lane,Iknidu,DE,56270,$2367.04,WHITE,10/09/2016
22,Ora,Garner,57,Ocofup Boulevard,Ehebagi,CO,52059,$2046.96,GREEN,09/24/1950
23,Jerry,Franklin,18,Sava Plaza,Gufakzin,NC,52365,$6176.06,YELLOW,03/08/1990
24,Lucille,Schmidt,47,Ebnoj Trail,Mialcur,CO,72383,$3839.19,GREEN,09/07/1987
25,Wesley,Atkins,48,Vidpu Center,Ronisabuh,AZ,12185,$239.22,YELLOW,07/23/2001
26,Alta,Ward,21,Weru Place,Titvedaj,MI,54155,$2377.05,WHITE,09/25/2007
27,Lucas,Wood,30,Puke Highway,Wuvafah,MS,16268,$3191.63,YELLOW,10/20/1981
28,Mamie,Norton,35,Busgen Parkway,Tengotak,DC,72313,$3732.54,WHITE,02/04/2058
29,Barry,Keller,20,Savza Pike,Upaliduw,IA,07013,$1745.47,WHITE,06/09/1955
30,Jason,Hart,36,Vobfu Grove,Lihhapso,NE,24965,$2389.15,RED,01/14/2017
31,Rachel,Green,37,Wufum Pike,Upbaka,AR,48374,$4399.26,BLUE,11/21/1936
32,Cecelia,Smith,25,Cogaz Center,Nuknoebo,OH,56474,$328.68,RED,04/23/1903
33,Chase,Ramirez,46,Beuma Point,Ahtewla,NJ,75837,$8496.68,RED,04/07/1966
34,Carl,Strickland,30,Dahi Boulevard,Socegola,VA,34368,$5505.51,WHITE,08/23/1987
35,Betty,Shelton,55,Mose Heights,Fabrejuw,UT,82052,$6866.57,BLUE,05/12/1915
36,Isaac,Saunders,38,Bipbin View,Ewotujno,NH,76476,$5712.94,GREEN,03/20/1931
37,Emma,Mitchell,39,Latah Street,Fortewmo,AL,87461,$3279.25,GREEN,02/16/2043
38,Eunice,Hammond,56,Kibcor Heights,Woopvu,MT,30633,$1155.73,YELLOW,03/28/1916
